"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""transform"":{""face"":{""preserve_original"":true,""reference_match"":true,""description"":""Use the exact same face as the uploaded reference image with identical facial features, proportions, and expression style.""},""output_quality"":""ultra-detailed 64K DSLR shot, hyper-realistic texture clarity""},""subject"":{""description"":""A beautiful woman with the same face as the reference image"",""pose"":""full-body portrait, standing gracefully while looking off to her left with a soft, pensive expression"",""hair"":{""style"":""elegant Victorian-style updo"",""visibility"":""partially visible beneath the large hat""},""outfit"":{""dress"":{""type"":""exquisite, elaborate Victorian/Rococo gown"",""color"":""teal"",""details"":""fitted bodice with ornate floral embroidery in pink and cream, puffed sleeves, high ruffled collar, layered skirt with rich fabric texture""},""hat"":{""type"":""large ornate Victorian hat"",""adornments"":[""numerous pink roses"",""teal fabric decorations"",""soft ribbons and antique lace""]},""accessories"":{""earrings"":""prominent pearl drop earrings"",""necklace"":""refined pearl necklace matching the earrings""}},""hands"":{""action"":""holding a large bouquet of pink roses that matches the floral embellishments of her gown and hat""}},""environment"":{""setting"":""soft green outdoor background"",""focus"":""shallow depth of field, background fully out-of-focus"",""lighting"":""romantic, soft natural light enhancing gown texture and facial details"",""atmosphere"":""dreamy, painterly, elegant, historical romance aesthetic""},""render"":{""engine"":""Octane Render"",""game_engine"":""Unreal Engine 5"",""style"":""high-fidelity cinematic rendering with rich material detail, lifelike shading, and volumetric softness""},""aesthetic"":{""theme"":""Victorian/Rococo luxury fashion"",""mood"":""romantic, elegant, timeless"",""textures"":""rich fabric depth, intricate embroidery, realistic floral texture, polished pearls""}}",Image Generation / Victorian Luxury Fashion Portrait
"{""prompt"":""Ultra-realistic V6 realism portrait of an adult woman with long wavy brown hair, sharp refined facial features, full natural lips, and flawless glowing skin. She is standing confidently in a luxurious futuristic cruise-ship atrium during golden hour. The space features an immense geometric glass dome ceiling composed of illuminated triangular panels, casting warm amber reflections across polished metallic surfaces. Through the dome, a serene ocean horizon is visible, washed in sunset tones of gold, pink, and soft violet. The atmosphere is elegant, cinematic, and high-end, with subtle depth-of-field, photorealistic lighting, intricate architectural details, and a premium fashion aesthetic."",""style"":""V6 realism, ultra-photorealistic, high dynamic range, cinematic golden-hour lighting, premium editorial photography"",""camera"":{""type"":""full-frame DSLR"",""lens"":""85mm portrait lens"",""aperture"":""f/1.8"",""focus"":""sharp focus on subject, soft bokeh background"",""perspective"":""eye-level, slightly forward angle""},""environment"":{""location"":""luxury futuristic cruise-ship atrium"",""lighting"":""warm sunset light filtered through geometric glass dome"",""details"":[""triangular glass ceiling panels"",""reflections on polished metal surfaces"",""soft atmospheric glow"",""ocean horizon visible outside""]},""subject"":{""age"":""mid-20s (adult)"",""gender"":""female"",""expression"":""confident and poised"",""hair"":""long, wavy, rich brown color"",""skin"":""flawless natural texture"",""pose"":""standing confidently with relaxed, elegant posture""}}",Image Generation / Futuristic Cruise-Ship Atrium Portrait
"{""imageDescription"":{""style"":""realistic"",""atmosphere"":""magical and ethereal"",""subject"":{""person"":{""age"":""young"",""bodyType"":""midsize"",""hair"":{""length"":""long"",""texture"":""naturally flowing"",""movement"":""gentle movement as if touched by wind""},""expression"":{""emotion"":""ecstasy, joy"",""eyes"":""closed"",""headPosition"":""slightly tilted back"",""smile"":""smiling""}}},""photoType"":{""camera"":""disposable camera"",""focus"":""close-up"",""ratio"":""9:16""}}}",Image Generation / Magical Ethereal Portrait
"{""generation_parameters"":{""resolution"":""1200x1200px"",""overall_aesthetic"":""Vogue holiday editorial, cinematic glow, ultra high quality"",""color_palette"":[""blush pink"",""champagne gold"",""creamy white"",""warm Christmas lights""],""reference_usage"":""Strictly copy the facial appearance from the provided photo""},""camera_and_composition"":{""angle"":""3/4 front-side angle"",""perspective"":""Slightly elevated but close-up perspective (NOT top view)"",""viewpoint_simulation"":""Standing near the rear-left corner of the car"",""framing_constraint"":""Top trunk lid is NOT visible in the frame"",""lens_effect"":""Shallow depth of field (DOF)""},""subject_details"":{""demographics"":""Stylish young woman"",""pose"":{""body"":""Reclining in the trunk, leaning on one arm"",""legs"":""Playfully slightly bent and extended to the side, one leg raised""},""expression"":{""mouth"":""Soft smile"",""eyes"":""Gazing slightly toward the camera"",""vibe"":""Confident, luxurious relaxation""},""wardrobe"":{""outfit"":""Soft pink winter suit with decorative elements"",""headwear"":""Fluffy white fur hat"",""footwear"":""Pink winter boots""}},""scene_elements"":{""vehicle_prop"":{""model"":""Vintage Cadillac DeVille Convertible (1968–1972)"",""paint_color"":""Pastel Yellow custom paint"",""state"":""Trunk area completely open at the bottom""},""trunk_contents"":{""general_items"":[""White fur coat"",""Numerous gifts in pink and white palette""],""specific_branding"":""One large pink box neatly labeled 'neiro_ellen' (integrated like a brand logo)""},""immediate_surroundings"":{""feature"":""Large Christmas tree behind and to the side of the girl"",""decorations"":[""Golden balls"",""garlands"",""warm lights""],""interaction"":""Branches lean slightly into the trunk creating festive chaos""},""background_environment"":{""location"":""Winter New York street with brownstones"",""atmospheric_details"":[""Warm light from windows"",""Light snowfall"",""Glistening wet pavement""]},""lighting"":""Warm Christmas lights creating cinematic glow""}}",Image Generation / Vogue Holiday Editorial Portrait
"{""image_generation_request"":{""prompt"":""Ultra-realistic portrait of a man walking toward the camera on an airport runway at night, smoking a cigarette. He wears a white long-sleeve shirt with sleeves rolled up and dress pants, shoes. The camera is very close, capturing his face sharply - textures of skin, smoke from his lips, and subtle reflections of firelight in his eyes. Behind him, slightly out of focus, a commercial airplane is burning intensely, with huge flames, roaring firestorms, and thick black smoke rising high. The fiery glow casts dramatic orange highlights on his shirt and face, creating deep shadows and a gritty, cinematic mood. Wet runway reflects the blaze, enhancing the dramatic atmosphere."",""dimensions"":{""width"":1200,""height"":1200},""style_descriptors"":[""Cinematic"",""Photorealistic"",""Gritty"",""Dramatic Lighting"",""Macro Photography"",""8k resolution""],""subject_details"":{""action"":""Walking toward camera, smoking"",""clothing"":""White long-sleeve shirt (rolled sleeves), dress pants, shoes"",""facial_features"":""Sharp focus, skin texture, firelight reflection in eyes""},""environment_details"":{""location"":""Airport runway at night"",""background"":""Commercial airplane burning, intense fire, thick black smoke, out of focus"",""ground"":""Wet runway, reflecting fire""}}}",Image Generation / Cinematic Airport Runway Scene
"{""scene"":{""setting"":""cluttered desk late at night"",""mood"":""contemplative, bored"",""lighting"":{""ambient"":""cool blue ambient light in the background"",""highlight"":""soft, warm glow highlighting her face""},""camera"":{""shot"":""candid, photorealistic"",""resolution"":""8K"",""lens"":""35mm"",""depth_of_field"":""shallow"",""texture"":""subtle grainy film"",""ratio"":""9:16""},""subject"":{""gender"":""female"",""appearance"":{""hair"":{""style"":""messy ponytail"",""color"":""not specified""},""clothing"":[""white graphic T-shirt"",""white wristwatch""],""accessories"":""wired earphones"",""expression"":""bored or contemplative"",""pose"":""left cheek on left hand, right hand on computer mouse"",""eyes"":""gazing into space""}},""desk_details"":{""items"":[""open notebooks"",""colorful stationery""]}}}",Image Generation / Candid Night Desk Portrait
"{""subject"":{""type"":""Portrait of a woman"",""reference"":""Based on uploaded photo (1:1 facial resemblance)"",""hair"":""Same hairstyle as reference"",""clothing"":{""outer"":""Plaid shirt"",""inner"":""T-shirt""}},""art_style"":{""genre"":""Child's drawing / Naive art"",""medium"":""Colored pencil"",""surface"":""Lined notebook paper"",""technique"":""Vibrant but slightly uneven coloring, simplistic shading""},""background"":{""elements"":[""Green mountains"",""Blue sky"",""Bright yellow sun"",""Blue cloud""],""style"":""Simplistic, amateur landscape""},""atmosphere"":""Charmingly amateur, nostalgic"",""original_prompt"":""A hand-drawn colored pencil portrait of a woman in the uploaded photo (exact 1:1 facial resemblance and same hairstyle—no beautification or identity changes), wearing a plaid shirt and a t-shirt. The style is like a child's drawing on lined paper, with vibrant but slightly uneven coloring. In the background, there are green mountains, a blue sky, a bright yellow sun, and a blue cloud, all drawn in the same naive, childlike style. The woman's face has some shading and detail, but the overall feel is charmingly amateur.""}",Image Generation / Childlike Colored Pencil Portrait
"{""image_generation_parameters"":{""resolution"":""1200x1200px"",""aspect_ratio"":""1:1"",""reference_usage"":""Preserve facial features from reference image strictly""},""visual_style"":{""genre"":""High-fashion magazine editorial"",""technique"":""Direct flash photography"",""atmosphere"":""Glamorous, bold, nightlife aesthetic, paparazzi style"",""lighting"":""Hard direct flash creating sharp shadows and high contrast against a dark background""},""subject_breakdown"":{""appearance"":{""hair"":""Long dark wavy hair, voluminous and glossy"",""expression"":""Confident, alluring, looking back over the shoulder"",""gaze"":""Direct connection with the camera""},""pose"":"" perched elegantly on the armchair, twisting torso to look back"",""wardrobe"":{""garment"":""Black lace ruffled two-piece outfit (top and bottom)"",""footwear"":""Black high stiletto heels with signature red soles"",""accessories"":""None specified other than props""}},""environment_details"":{""setting"":""Modern luxury living room interior"",""time_of_day"":""Night"",""furniture"":""Plush charcoal grey armchair"",""props"":""Black designer handbag resting on the chair cushion beside the subject"",""background"":""Dimly lit upscale interior, out of focus""}}",Image Generation / Glamorous Nightlife Editorial Portrait
"{""image_generation_parameters"":{""resolution"":""1200x1200px"",""aspect_ratio"":""1:1"",""reference_usage"":""Preserve facial features from reference image strictly""},""visual_style"":{""genre"":""High-fashion editorial, realistic portrait"",""technique"":""Natural sunlight photography"",""atmosphere"":""Dreamy, gentle elegance, soft cinematic feel"",""lighting"":""Sunlight streaming from left, creating sharp highlights on hair and skin against slightly darkened background""},""subject_breakdown"":{""appearance"":{""hair"":""Long dark brown hair 👤, flowing to waist, loose Korean-style curls at ends, small strands across face"",""expression"":""Dreamy, confident, slightly cheerful 📸📀 🙅🏻‍♀️💁🏻‍♀️🧏🏻‍♀️"",""makeup"":""Natural makeup 💄💋, rosy cheeks, thin eyeliner, mascara, pink-orange lip gloss""},""pose"":""Right arm slightly lifted, left arm holding black Balenciaga City bag / sitting sideways resting chin on hand / talking on phone naturally"",""outfit"":""Black sports bra crop top 👚👗👙🩲, wide-leg black jeans showing white Calvin Klein waistband, silver short necklace (LV pendant), small thick hoop earrings, minimal silver ring""},""lighting_and_effects"":{""lighting"":""Natural sunlight 🌌 from front–side highlighting cheeks and nose tip"",""effects"":""Cinematic lighting 🎞️🎞️, ultra HD 👑✨, hyper-realistic, sharp textures, stunning light and shadow effect""}}",Image Generation / High-Fashion Natural Light Portrait
"{""subject"":{""description"":""A young woman taking a mirror selfie with very long voluminous dark waves and soft wispy bangs"",""age"":""young adult"",""expression"":""confident and slightly playful"",""hair"":{""color"":""dark"",""style"":""very long, voluminous waves with soft wispy bangs""},""clothing"":{""top"":{""type"":""fitted cropped t-shirt"",""color"":""cream white"",""details"":""features a centered Powerpuff Girls graphic in bright cartoon style""},""bottom"":{""type"":""casual shorts"",""color"":""light beige"",""details"":""soft fabric with a relaxed, comfortable fit""}},""face"":{""preserve_original"":true,""makeup"":""natural glam makeup with soft pink dewy blush and glossy red pouty lips""}},""accessories"":{""earrings"":{""type"":""gold geometric hoop earrings""},""jewelry"":{""waistchain"":""silver waistchain""},""device"":{""type"":""smartphone"",""details"":""patterned case""}},""photography"":{""camera_style"":""early-2000s digital camera aesthetic"",""lighting"":""harsh super-flash with bright blown-out highlights but subject still visible"",""angle"":""mirror selfie"",""shot_type"":""tight selfie composition"",""texture"":""subtle grain, retro highlights, V6 realism, crisp details, soft shadows""},""background"":{""setting"":""nostalgic early-2000s bedroom"",""wall_color"":""pastel tones"",""elements"":[""chunky wooden dresser"",""CD player"",""posters of 2000s pop icons"",""hanging beaded door curtain"",""cluttered vanity with lip glosses""],""atmosphere"":""authentic 2000s nostalgic vibe"",""lighting"":""retro""}}",Image Generation / Nostalgic Early-2000s Mirror Selfie
"{""image_generation_data"":{""title"":""Femme Fatale in Film Noir - Structured"",""version"":""2.0"",""components"":{""meta_quality_and_style"":{""overall_quality"":[""Masterpiece"",""best quality"",""8k"",""raw photo""],""realism_weighting"":""photorealistic:1.3""},""subject"":{""demographics"":[""1 female"",""femme fatale""],""facial_features"":[""sharp facial features"",""pale skin"",""intense suspicious gaze""],""skin_realism_details"":[""realistic skin texture"",""visible pores and freckles"",""faint veins"",""mole under eye""],""makeup"":[""red lipstick""]},""attire_and_pose"":{""clothing"":""wearing a structured black velvet evening gown with a high slit"",""accessories"":""holding a transparent umbrella"",""pose_and_action"":[""standing"",""looking back over shoulder"",""dramatic cinematic pose""],""environmental_interaction"":""wind blowing hair across face""},""environment"":{""location_and_time"":[""rainy night"",""european city""],""ground_details"":[""wet reflective street"",""cobblestones reflecting street lamps""],""background_elements"":[""steam rising from vents"",""bokeh car lights in background""],""atmosphere_mood"":""dark atmospheric mood""},""photography_and_cinematography"":{""aesthetic_genre"":""film noir aesthetic"",""lighting"":[""low key lighting"",""rim light outlining the silhouette""],""camera_gear"":[""50mm lens"",""f/1.8""],""color_and_contrast"":[""high contrast"",""bluish color grading""],""texture"":""slight film grain""}},""concatenated_prompt_string"":""Masterpiece, best quality, photorealistic:1.3, 8k, raw photo, 1 female, femme fatale, sharp facial features, pale skin, intense suspicious gaze, realistic skin texture, visible pores and freckles, faint veins, mole under eye, red lipstick, wearing a structured black velvet evening gown with a high slit, holding a transparent umbrella, standing, looking back over shoulder, dramatic cinematic pose, wind blowing hair across face, rainy night, european city, wet reflective street, cobblestones reflecting street lamps, steam rising from vents, bokeh car lights in background, dark atmospheric mood, film noir aesthetic, low key lighting, rim light outlining the silhouette, 50mm lens, f/1.8, high contrast, bluish color grading, slight film grain""}}",Image Generation / Femme Fatale Film Noir Portrait
"{""prompt"":""A young Asian woman is sitting in a salon chair with a relaxed, confident pose. She has both legs crossed and resting on a small, dark wooden table in front of her. She is wearing a large, oversized white t-shirt with the word 'Mbelgedez' printed in black across the chest, ripped light blue jeans, and white high-top sneakers. She is wearing brown-tinted sunglasses, a silver chain necklace, and a black digital watch (G-Shock style) on her left wrist. Her right hand is gently touching her chin, and her left hand is resting on the armrest. Her hair is long, straight, and a soft, neutral brown tone. The setting is a brightly lit beauty salon with warm indoor lighting, featuring salon chairs, shelves stocked with hair products, and mirrors in the background. It is a medium shot with centered composition, emphasizing a photorealistic street-style aesthetic with high detail on the clothing textures, jewelry, and subtle skin shine.""}",Image Generation / Photorealistic Street-Style Portrait
"{""prompt"":{""positive"":""High-resolution vertical portrait, 4K quality. A woman with wavy black hair, slightly damp. Dreamy soft gaze looking up toward the camera. Wearing an oversized slate grey/teal hoodie. Leaning against a wall covered with messy posters, flyers, and stickers. Nighttime busy city street (Tokyo/Seoul/Hong Kong style). Light drizzle with visible water particles in the air. Wet reflective street surface. Red neon reflections and bright car brake lights dominating the pavement. Yellow and red neon shop signs in background. Strong dramatic lighting with high contrast between warm neon reds/yellows and cool blue/grey ambient tones. Shallow depth of field, bokeh background. Cinematic, photorealistic."",""negative"":""blurry face, distorted anatomy, extra limbs, extra fingers, watermark, text, overexposed lights, underexposed shadows, cartoon style, low resolution, grainy, unrealistic skin, duplicated facial features""},""parameters"":{""style"":""photorealistic"",""resolution"":""4K"",""ratio"":""3:4"",""camera"":{""lens"":""portrait lens (50mm–85mm)"",""depth_of_field"":""shallow"",""focus"":""sharp focus on subject""},""lighting"":{""type"":""neon city lighting"",""contrast"":""high"",""color_palette"":[""red neon"",""yellow neon"",""cool blue/grey shadows""]}},""environment_details"":{""weather"":""light rain / drizzle"",""city_style"":[""Tokyo"",""Seoul"",""Hong Kong""],""foreground"":""poster-covered wall"",""background"":{""elements"":[""wet reflective street"",""cars with red brake lights"",""neon shop signs""],""depth"":""blurred bokeh""}},""subject"":{""gender"":""female"",""expression"":""dreamy, soft gaze upward"",""hair"":""wavy black, slightly damp"",""clothing"":""oversized slate grey/teal hoodie""}}",Image Generation / Neon City Night Portrait
"{""image_request"":{""style"":""Cinematic black and white noir portrait"",""subject"":{""description"":""Man"",""attire"":[""fedora"",""trench coat""]},""lighting"":[""sliced light from blinds"",""deep shadows""],""atmosphere"":""grainy vintage"",""technical_specs"":{""resolution"":""4K""}}}",Image Generation / Cinematic Black and White Noir Portrait
"{""image_generation_parameters"":{""main_prompt"":""Shot on a Canon EOS R5 with an RF 85mm f/1.2L USM lens, a striking figure stands with confident allure in a modern, sun-drenched loft apartment, poised in a captivating 'Curtain Light Pose'. Soft, diffused golden hour light streams dramatically through translucent sheer linen curtains, bathing her form in a painterly glow and creating a perfect, creamy bokeh that softens the background of exposed brick and minimalist decor."",""subject_details"":{""outfit"":""Tailored, shimmering satin slip dress (Cute Hot Mirror Selfie Outfit) with a fluid, delicate sheen."",""skin_texture"":""Hyper-realistic skin showcasing visible pores, devoid of airbrushed artificiality."",""hair"":""Effortlessly styled with discernible individual strands and subtle flyaways."",""eyes"":""Captivating eyes with a precise, soft rectangular catchlight mirroring the window.""},""environment"":{""location"":""Modern loft apartment."",""background_elements"":""Exposed brick, minimalist decor, translucent sheer linen curtains."",""lighting_style"":""Golden hour, diffused, dramatic shadows, painterly glow.""},""technical_specs"":{""camera"":""Canon EOS R5"",""lens"":""RF 85mm f/1.2L USM"",""film_stock_emulation"":""Portra 800"",""visual_attributes"":""Subtle grain, rich warm tones, creamy bokeh, editorial sophistication, high-fashion allure.""},""face_consistency_instruction"":""Maintain 100% face consistency with reference image.""}}",Image Generation / Golden Hour Loft Portrait
"{""prompt_breakdown"":{""subject_parameters"":{""identity_constraint"":""Preserve facial features from reference image"",""hair"":""Long, ash-brown, textured wolf cut"",""expression"":""Relaxed, dreamy, looking to the side""},""apparel"":{""top"":""Sleeveless cropped black hoodie with high collar"",""bottom"":""Faded black denim shorts, vintage distressed style, raw hem with frayed fibers"",""footwear"":""Onitsuka Tiger Mexico 66 sneakers (Yellow and Black)""},""pose_and_action"":{""body_position"":""Lying relaxed inside an open car trunk, legs bent and crossed"",""arms"":""Right arm stretched upward, left hand holding a lit cigarette near mouth"",""action"":""Smoking""},""environment_and_props"":{""primary_container"":""Trunk of a bright yellow sports car"",""trunk_contents"":""Transparent box, yellow bottle or black tube attached to the side"",""background"":""Dark outdoor nighttime setting, faint building silhouette, partial wheel of another vehicle on the left""},""technical_specs"":{""angle"":""High-angle shot (looking down)"",""lighting"":""Hard direct flash (35mm analog style), dark ambient background"",""medium"":""Flash photography, grainy film texture"",""atmosphere"":""Edgy, mysterious, candid""}}}",Image Generation / Edgy Flash Style Car Trunk Portrait
"{""image_request"":{""prompt"":""Photorealistic portrait of a young woman with dark brown hair styled in a half-updo with pearl accents. She is leaning back against a rustic dark wooden doorframe. She is wearing a white lace bralette and a sheer white ruffled skirt. Her left arm is raised with her hand lightly touching the top of her head, gazing thoughtfully upwards to the side. She holds a woven gold clutch in her right hand near her hip. Soft, elegant lighting. Text overlay signature in the bottom corner: 'Shreya Yadav'"",""negative_prompt"":""cartoon, illustration, painting, drawing, blurry, low quality, distorted hands, missing fingers, extra limbs, cross-eyed, bad anatomy, messy text, typo, spelling mistake, watermark, logo"",""attributes"":{""subject"":""Young woman, dark brown hair, half-updo, pearl accents"",""outfit"":""White lace bralette, sheer white ruffled skirt"",""accessories"":""Woven gold clutch"",""pose"":""Leaning back, left arm raised touching head, gazing upwards to side"",""setting"":""Rustic dark wooden doorframe"",""lighting"":""Soft, elegant"",""text_element"":{""content"":""Shreya Yadav"",""style"":""Signature"",""position"":""Bottom corner""}},""parameters"":{""aspect_ratio"":""9:16"",""style"":""Photorealistic"",""model_version"":""v6.0""}}}",Image Generation / Soft Elegant Fashion Portrait
"{""prompt_description"":""A cinematic, professionally photographed office scene featuring a confident young woman with long brown hair, sitting at a sleek, dark marble desk. She is wearing a tailored charcoal-gray suit jacket over a black blouse. The lighting is warm golden hour, pouring through tall office windows that offer a high-rise city view with buildings in the soft background. She is lightly interacting with an open silver laptop (MacBook Pro style) that shows a graph. A dark leather notebook and a stylish golden pen are neatly placed on the desk. The background features strong depth-of-field bokeh, with large, warm, circular light reflections (or orbs of light) adding a visionary, movie-like aesthetic. The camera angle is slightly low and empowering. The overall mood is inspiring, focused, and successful."",""style"":""Cinematic, Professional Photography, Golden Hour"",""subject"":""Confident woman in tailored suit"",""setting"":""Modern High-Rise Office, Sleek Desk"",""lighting"":""Warm Golden Hour Light, Bokeh Background"",""camera_angle"":""Slightly low, Empowering Perspective"",""mood_keywords"":[""Inspiring"",""Visionary"",""Success"",""Elegance"",""Focus""]}",Image Generation / Cinematic Office Environment Portrait
"{""description"":""A cute woman with rosy cheeks, sitting by a window on a snowy day, wearing a cream knit sweater and thigh-high socks. She is warmly hugging a large Doraemon plush toy with a red scarf around its neck. A hot chocolate mug sits beside her. The lighting is warm, soft, and cozy, creating an extremely heartwarming and photorealistic atmosphere in 8k resolution. Do not change the woman's face."",""signature"":""Shreya Yadav""}",Image Generation / Cozy Winter Window Portrait
"{""description"":""A full-body portrait of a young woman sitting on a white modern chair against a plain light gray studio background."",""style"":{""type"":""Hyper-realistic"",""resolution"":""Cinematic 8K Ultra-HD"",""lighting"":""Soft and even studio light""},""subject"":{""gender"":""Female"",""age_appearance"":""Young adult"",""hair"":{""length"":""Long"",""style"":""Wavy"",""color"":""Black""},""expression"":""Soft yet confident, looking directly at the camera."",""pose"":{""body_position"":""Sitting casually on a chair."",""hands"":""Both hands resting on the chin.""},""makeup"":""Natural and subtle""},""outfit"":{""top"":""White tank top"",""bottom"":""Blue denim cargo wide-leg jeans with pockets"",""outerwear"":""Blue denim jacket draped over shoulders"",""footwear"":""White sneakers""},""accessories"":[""Delicate earrings"",""Gold necklace"",""Watch""],""background"":{""type"":""Studio"",""color"":""Minimalistic light gray"",""feel"":""Simple and bright""}}",Image Generation / Hyper-Realistic Studio Full-Body Portrait
"{""subject"":{""description"":""A young woman in an HD editorial fashion portrait"",""age"":""young adult"",""expression"":""soft, warm, intimate expression"",""hair"":{""color"":""black"",""style"":""long layered cut with loose wind-blown strands and dark bangs under the headscarf""},""clothing"":{""top"":{""type"":""crochet oversized cardigan"",""color"":""cream, teal, magenta yellow"",""details"":""textured, cozy, fashion editorial style""},""headscarf"":{""type"":""crochet headscarf tied under the chin"",""color"":""cream, teal, lime green, magenta yellow"",""details"":""bright, patterned, summery""}},""face"":{""preserve_original"":true,""makeup"":{""cheeks"":""soft blush on cheeks and nose"",""lips"":""pink lips"",""eyebrows"":""soft natural eyebrows"",""overall"":""subtle and identical to reference""}}},""accessories"":{""sunglasses"":{""type"":""large square oversized sunglasses"",""frame"":""thick tortoise-shell"",""lens"":""amber-tinted"",""style"":""high-fashion""},""animal"":{""type"":""cat"",""description"":""fluffy orange cat relaxing on her shoulder""}},""photography"":{""camera_style"":""editorial fashion photography"",""lighting"":""intense backlit sunlight with flares, dreamy high-contrast summer aesthetic"",""angle"":""close-up portrait"",""shot_type"":""intimate, warm, photorealistic""},""background"":{""wall_color"":""bright blue sky"",""elements"":[],""atmosphere"":""vibrant, summery, high-contrast"",""lighting"":""strong natural sunlight""}}",Image Generation / Editorial Summer Fashion Portrait
"{""prompt"":""Hyper-realistic environmental portrait of a stylish young woman standing in a dense tropical bamboo forest. She is wearing a wide-brimmed black fedora hat, round dark sunglasses with thin metal frames, a plain black crew-neck t-shirt tucked in, and dark grey high-waisted trousers. She stands with a confident posture, leaning slightly forward, with her right hand resting naturally on a vertical green bamboo stalk. The lighting is soft and diffused with dappled sunlight filtering through the leaves, highlighting the texture of the bamboo and her clothing. The background features a deep cinematic depth of field (bokeh) with rich lush greens and tropical undergrowth. Shot on Sony A7R IV, 35mm lens at f/1.8, high contrast, matte finish, sharp focus on subject, 8k resolution."",""negative_prompt"":""cartoon, anime, 3d render, illustration, painting, low quality, blurry, distorted face, bad anatomy, extra fingers, missing limbs, text, watermark, neon colors, overexposed, harsh lighting, bright artificial light, makeup smudge, messy hair"",""metadata"":{""subject"":""Woman"",""hair_color"":""Brown"",""outfit"":[""Black wide-brimmed hat"",""Round sunglasses"",""Black T-shirt"",""Dark grey trousers"",""Black boots""],""environment"":""Bamboo forest"",""lighting"":""Natural soft daylight, dappled"",""camera_settings"":""35mm, f/1.8, Depth of Field"",""style"":""Cinematic, Minimalist, Photorealistic""}}",Image Generation / Cinematic Tropical Bamboo Forest Portrait
"{""prompt_structure"":{""subject_preservation"":{""face_and_body"":""Strict adherence to reference image facial features and body proportions"",""hair_modification"":""Original hairstyle retained but refined with enhanced soft volume, definition, and glossy shine""},""fashion_aesthetic"":{""style"":""Neoclassical High-Fashion"",""garment_details"":""Floor-length gown featuring structured architectural pleating mixed with ethereal fluid draping"",""accessories"":""Ornate metallic arm cuffs, structured bodice elements""},""composition_and_pose"":{""stance"":""Contrapposto alignment, standing slightly angled to the right"",""upper_body"":""Torso gently twisted toward camera, hands clasped low at the abdomen"",""head_position"":""Slight tilt to the left, chin defined"",""framing"":""Full-body portrait""},""environment"":{""setting"":""Minimalist studio space"",""props"":""Classical white marble statues positioned to create depth and architectural lines""},""lighting_and_mood"":{""lighting_setup"":""Sculptural studio lighting to define bone structure and fabric folds"",""mood"":""Ethereal yet commanding, serene, breathless""}}}",Image Generation / Neoclassical High-Fashion Studio Portrait
"{""description"":""A dramatic black-and-white close-up portrait of a woman standing in the rain."",""subject"":{""gender"":""female"",""pose"":""side profile, facing left"",""expression"":""calm and pensive"",""details"":{""hair"":""long, wavy, wet strands falling forward"",""skin"":""wet with visible raindrops"",""makeup"":""soft natural makeup with defined lashes"",""wardrobe"":""sleeveless top (minimal visible)""}},""environment"":{""weather"":""rainfall visible in the background"",""lighting"":""soft, moody, directional light creating gentle highlights and shadows"",""tone"":""dark, cinematic, high-contrast monochrome""},""composition"":{""shot_type"":""close-up portrait"",""focus"":""sharp focus on the woman's face"",""background"":""blurred, dark, deep bokeh""},""mood"":""dramatic, emotional, introspective""}",Image Generation / Dramatic Black and White Rain Portrait
