prompts,Metadata / Instruction
"Recreate the composition of Leonardo da Vinci’s The Last Supper, but with iconic manga and anime characters seated at the long table. Place Goku in the center in the role of Jesus, glowing subtly with Saiyan energy. Surround him with characters from Naruto, One Piece, Bleach, Attack on Titan, My Hero Academia, Dragon Ball, Jujutsu Kaisen, and Demon Slayer, all interacting dramatically like in the original composition. Maintain the Renaissance lighting, painterly textures, and classical depth of the original fresco, but with anime-style character design and vibrant colors",Image Generation / Renaissance Anime Crossover
"At the very top center of the composition, floating prominently above the ingredient layers, is a luxurious title label. The text reads ""担担面 DAN DAN NOODLES"" rendered in expressive, handwritten Chinese brush calligraphy (毛笔字) style. The lettering possesses a heavy, three-dimensional sculpted gold metal texture (金属质感) with a brushed finish, warm golden sheen, and realistic metallic reflections catching the dramatic studio lighting. It looks like forged gold brushstrokes floating in space.
Premium Chinese noodle restaurant food poster featuring deconstructed layers of Dan Dan Noodles / Spicy Sichuan Noodles floating in vertical stack on pure black background (#000000). Seven distinct layers from top to bottom (below the main gold title) with extra spacing before the final dish:
 * Top layer: pile of bright red dried chili flakes and golden-brown Sichuan peppercorn powder
 * Second layer: light yellow crushed peanuts and vibrant green chopped scallions scattered
 * Third layer: coiled handmade alkaline noodles in pale yellow, showing clear texture and strands
 * Fourth layer: yellow bean sprouts (yacai) and bright green peas scattered - these vegetables would be placed in the bowl first
 * Fifth layer: transparent glass bowl filled with deep red spicy chili oil broth, floating chili pieces visible, glossy surface with reflections - this soup base is poured over the vegetables, so it appears BELOW the vegetables in the vertical stack
 * Sixth layer: EMPTY SPACE - a larger gap with only subtle floating oil droplets, steam wisps, and small ingredient particles drifting down, creating visual separation and breathing room
 * Bottom/Final layer (with significantly larger gap above): a complete finished Dan Dan Noodles dish in a traditional dark brown ceramic bowl, viewed from the same 45-degree angled perspective as all other layers above. The bowl contains all ingredients combined - pale yellow noodles coated in glossy red chili oil, topped with crushed peanuts, bright green chopped scallions, bean sprouts, peas, and red chili flakes sprinkled on top. The noodles look freshly mixed and glistening with oil, subtle steam rising. This finished bowl is at the same scale and viewing angle as the deconstructed ingredients above. The extra spacing above emphasizes this as the final result, creating a dramatic reveal of the transformation from separated components to complete dish.
Each layer separated with gaps revealing textures and details. Layers 1-5 have normal spacing between them. Layer 6 is an intentional empty transition space with double or triple the normal gap distance. Layer 7 (finished dish) sits at the bottom with clear visual separation. Chinese and English bilingual labels with elegant arrows pointing to each component: ""辣椒油&花椒粉 Chili Oil & Sichuan Pepper Powder"", ""麻辣风味 Numbing & Spicy Flavor"", ""花生碎&葱花 Crushed Peanuts & Scallions"", ""手工碱面 Handmade Noodles"", ""芽菜&豌豆 Yacai & Peas"", ""丰富配料 Rich Toppings"", ""红油汤底 Spicy Red Broth"", ""成品 Finished Dish"".
NO white pedestal, NO platform base. All layers float freely in space against pure black background. Dramatic studio lighting from 45-degree angle, rim lighting highlighting textures and glass bowl transparency. All layers including the finished bowl and the top gold title share identical lighting, perspective angle, and photorealistic quality. Subtle steam effects, oil droplets floating around layers, with more particles in the empty transition space. Star sparkle effect in bottom right corner near the finished dish. Dark moody aesthetic, luxurious commercial food photography style, ultra-realistic, highly detailed, professional restaurant advertising quality, 9:16 vertical format.",Image Generation / Food Advertising Poster
"Create a set of colorful, hand-drawn LINE-style half-body Q-version emoji portraits based on the characters shown, ensuring accurate depiction of their head accessories.

Arrange the images in a 4x6 layout, featuring common chat phrases or relevant humorous memes.
Use handwritten-style fonts for text.
Output must be original—avoid direct copying of the reference image.
Final image should be in 4K resolution, 16:9 aspect ratio.",Image Generation / LINE Style Emoji Portraits
"completing the look with a chunky silver chain around his neck, dark round frame sunglasses and a wristwatch. The subject holds a metallic baseball bat and poses with one hand in his pocket, displaying a confident, defiant attitude. The backdrop suggests unrest or chaos with thick smoke and the presence of fire, enhancing the moody and street-style aesthetic of the photo. The overall composition highlights a youthful, tough streetwear style with a punk or grunge.",Image Generation / Street Style Photography Concept
"Same face, hit with an unforgiving flash that nukes the shadows. Her hair is shoved back with a cheap plastic clip, a few wild strands catching the glare. She stares dead-on, expression sharp and challenging. She wears a washed-out maroon hoodie. Behind her: a wall of torn notebook pages, doodles, and crooked polaroids. Heavy grain, blown highlights, raw 90s energy.",Image Generation / 90s Style Portrait Photography
"Using the attached photo ( do not change the face ) create a young woman positioned in the lower-right quadrant of the frame. She has long, dark hair visible under a hat and is wearing a form-fitting dress that transitions into an enormous, flowing fabric structure. The figure appears to be caught mid-stride or turning, with her body angled slightly away from the viewer. Her head is tilted, possibly looking toward the immense fabric. She is wearing high-heeled shoes.The central focus is a massive, billowing expanse of fabric, a vibrant, intense, saturated orange or tangerine color. The dress she is wearing matches this color. The fabric is sculpted to create an impossible, organic form. It rises dramatically from the woman's dress, swirling upward and over her head like a crashing wave.  It is characterized by hundreds of deep, intricate pleats and folds, suggesting a lightweight material like chiffon, captured in an arrested, dynamic motion. She wears a wide-brimmed hat that is a light color, cream. 

The upper two-thirds of the image is dominated by a dramatic, tempestuous sky. The clouds are dark, heavy, and moody, a mix of deep slate greys, turbulent blues, and hints of atmospheric light, suggesting passing storm. The subject is standing on a smooth, reflective surface that is a muted, light grey or off-white color. This ground is seamless and featureless, creating a clean, almost void-like studio effect. It is a fusion of a controlled, minimal studio setting (the ground) and a grandiose, natural backdrop (the sky), enhancing the surreal and dramatic nature of the fabric. 

The composition is highly dynamic. The immense orange form acts as a dominant leading line, sweeping from the bottom right, curving through the center, and peaking near the top left. The figure grounds the entire structure. The composition utilizes the rule of thirds, with the figure and the base of the fabric located along the lower-right vertical and horizontal intersections. 
Ratio: portrait orientation 8:10 aspect ratio.

The lighting is dramatic and high-contrast. A strong light source illuminates the orange fabric, highlighting the texture and creating deep shadows within the folds, which enhances the dimensionality. The light appears to be coming from the front-left, illuminating the woman's right side. 

Camera
High-Resolution Full-Frame Digital SLR or Mirrorless Camera ( Canon R). A medium telephoto prime lens ( 85mm or 105mm).  Aperture : Moderately wide (f/4 to f/5.6). Shutter Speed: Fast (1/200 to 1/500 sec). ISO: Low (ISO100).",Image Generation / Fashion Photography with Dramatic Fabric
"A list of eight color names is written in crayons of the corresponding color, but four are wrong. These four are marked with a red-ink rubber stamp that says “Wrong!”",Image Generation / Crayon Color Name Illustration with Marking
"Make a 4×4 grid starting with the 1880s. In each section, I should appear styled according to that decade (clothing, hairstyle, facial hair, accessories). Use colors, background, & film style accordingly.",Image Generation / Historical Decade Style Fashion Grid
"Create an 8k photorealistic image using the attached photo. A close-up portrait of a woman with long, jet-black, slightly wind-swept hair falling across her face. Her striking, light-colored eyes gaze upwards and to the right, catching a sharp, diagonal beam of natural light that illuminates the high points of her cheekbone, nose, and plump, glossy, mauve-toned lips. The rest of her face and the background are cast in deep, dramatic shadow, emphasizing the play of light and shadow.",Image Generation / Photorealistic Close-Up Portrait
Add photos of food to this menu to each item of food,Image Editing / Menu Food Photography Enhancement
"A tiny monkey wearing a knitted scarf rolls a giant acorn down a forest path, leaves swirling around in a burst of autumn color. Rendered in soft storybook illustration style with warm hues, gentle textures, and a joyful, mischievous mood.",Image Generation / Storybook Animal Illustration
"Create a hyper-realistic waist-up portrait using the attached photo.  Don't change the face.
 A portrait of a beautiful young woman with fair glowing skin and an oval face with a perfect figure, not skinny.
 A natural light indoor shot featuring a woman with green grayish eyes with winged liner, a natural, subtle freckles with sun-kissed peachy color on her face, feathery eyebrows, including a pink glossy lip and bronzed cheeks. 
 She has voluminous, shiny, waist-length golden hair layered style with a slight wave, her hair blowing in the wind, giving a natural and fresh look, with small braided buns in her hair.
 She is wearing a loose-fitting, beige knitted maxi dress with stacks of gold accessories in ears, rings, stacked bracellet and stacked necklace. 
 She is looking into a rustic, antique mirror framed with decorative tiles and surrounded by lush green foliage that grows around and over it, suggesting an indoor space with an outdoor feel or a sunroom.  The background is gently blurred, emphasiz",Image Generation / Hyperrealistic Fashion Portrait with Accessories
"A photorealistic ESC keycap scene shows a miniature cozy living room from 90s.. Inside: a glowing nostalgic of 90s screen with a video game playing, a plush couch, joysticks, gaming console, and throw blanket. A small figure lounges with feet up, watching content. The gaming screen glows from behind like mood lighting. Outside: cool tech reflections on F1, Shift, and Q keys. The word “ESC” is subtly present in a glassy fog on top of the cap.",Image Generation / Miniature Scene on Keyboard Keycap
"A young woman with dark wavy hair sits in a black hoodie partially open over a white t-shirt, close-up from front below, slightly tilted to the right, sensual confident gaze, lips slightly parted, eyes looking upward and slightly to the right, slowly raising one hand touching side of neck or chin, shoulders relaxed, smooth skin with sharp feminine features, captivating eyes, small elegant tattoo on left arm, dramatic lighting with faint red light from left creating highlights on skin and hoodie, dark shadowed background, visible skin pores and fabric texture, minimal dark background with faint red frame in upper left corner, cinematic and detailed.",Image Generation / Cinematic Close-Up Portrait
"""moody cinematic portrait, lone young man in tall grass field at dusk, overcast sky, teal-green color grade, wearing white buttoned shirt, matte silver over-ear headphones, side profile, head tilted back toward sky, eyes closed, arms open and slightly back, wind-swept grass blades in foreground creating soft motion blur, shallow depth of field with creamy bokeh, natural ambient light, soft rim light on hair, melancholic freedom vibe, minimal contrast, subtle grain”",Image Generation / Cinematic Moody Male Portrait
"Same face preserved, shot in near-dark with only a dim window glow hitting one cheek. Hair messy and low-lit, shadows swallowing half her features. She’s in a worn black cardigan. Background: scribbles, cutouts, and film stills that appear only as rough silhouettes. The frame feels underexposed on purpose — gritty, quiet, cinematic.",Image Generation / Gritty Cinematic Portrait
"A dramatic, low-angle portrait of a woman standing in a dark, minimalist space, illuminated by a sharp beam of light that carves across her face and shoulders. She wears transparent, modern glasses that catch the glow, adding geometric reflections to her expression. Her gaze is lifted upward with quiet determination, creating a powerful, almost heroic silhouette against the deep shadows around her. The contrast between light and darkness emphasizes her poised posture and confident presence. Capture the scene with high-contrast lighting, subtle film-grain texture, and a moody, atmospheric tone.",Image Generation / Dramatic High-Contrast Portrait
"A slow-motion cinematic video in Renaissance painting style showing a soccer player mid-kick. Dramatic spotlighting cuts through a dark moody background. Motion trails in vibrant teal (02B2CA) and electric violet (AC03FC) streak behind the leg. A sharp white soccer ball spins on grass, with color-graded lighting and a sleek, realistic sports photography look.",Video Generation / Cinematic Sports Action in Renaissance Style
"Ultra realistic portrait of an individual presented inside an oversized Instagram post frame that dominates the scene. Keep uploaded face consistent and unchanged. The individual's facial features are delicate yet sharp, clean, and naturally stunning, with eyes locked on the viewer with calm, magnetic intensity and lips softly relaxed and neutral, radiating a high-fashion model expression. They stand in a modern, dynamic pose:",Image Generation / Hyperrealistic Instagram Fashion Portrait
"Raw wide-angle engineering camera footage from the Mars surface. Extreme fisheye lens distortion. A close-up ""selfie"" of Elon Musk peering into the rover's lens. He is wearing a dusty, scuffed futuristic space suit (helmet off). His face is weathered, unshaven, and sun-damaged. The lens is covered in red dust particles and scratches. Harsh, direct sunlight casts deep black shadows. Low-resolution, monochrome transmission artifacts, digital timestamp overlay in the corner ""SOL 001"".",Image Generation / Sci-Fi Fisheye Mars Rover Scene
"Japanese photo collage, young woman in cozy living room, morning sunlight, shoji windows, 90s cinematic tone, soft film grain, nostalgic mood, calm atmosphere, multiple shots showing small daily moments, warm colors",Image Generation / Nostalgic Japanese Photo Collage
"Create an image at 40.7128° N, 74.0060° W, September 11, 2001, 08:46 hours",Image Generation / Historical Event Location Reconstruction
"Create a digital smudge-paint style of the uploaded image.
This is a very popular style in modern Indian digital art. The artist likely started with a photograph and digitally painted over it, smudging the pixels to remove skin texture and adding brush strokes to the hair and clothes.

Lighting:
The lighting is soft and diffuse (studio style). The shadows under the chin and along the side of the neck are soft, avoiding harsh contrast.Background:

The background is a textured, abstract blend of brown and sepia tones.

This neutral, earthy backdrop ensures that the viewer's focus remains entirely on the subject's face.

The painting evokes a sense of divinity, tradition, and serenity.

The direct gaze of the subject combined with the traditional attire creates a respectful and dignified portrait, often used for matrimonial profiles, memorial portraits, or commemorative gifts",Image Generation / Indian Digital Smudge-Paint Portrait
浮世絵師・葛飾北斎が描いたような和風インフォグラフィックにして。波や雲の装飾を入れ、文字は江戸文字（勘亭流）で。カラーパレットは墨・藍・朱・淡黄のみ。現代のデータを侍や町娘が解説している構図で。,Image Generation / Japanese Ukiyo-e Inspired Infographic
"Create a PlayStation 5 game cover in the style of GTA VI. Use the man from the provided photo as the main character, but with updated LA streetwear (bomber, sunglasses, modern vibe). Neon Los Angeles background with palm trees, downtown skyscrapers, sunset colors, luxury cars, and dynamic GTA-style panel layout. Cinematic lighting, glossy poster finish, bold Rockstar-like typography. Add PS5 banner, game logo, and a high-energy Los Angeles atmosphere.",Image Generation / Video Game Cover Design
"请为[乔布斯]创建一个有趣的职业生涯地图，使用[指环王]的主题。需包含相关的隐喻或比喻，将这位名人的职业经历与所选主题连接起来，使职业地图感觉连贯且有意义。中英文案，确保所有文字清晰易读。

乔布斯的一生就是一场史诗：车库创业、被驱逐、流亡、归来、改变世界。这种起伏和张力，用中土世界的框架来呈现，竟然意外地契合。

每个人心中都有一座中土世界，而真正的冒险从来不是征服已知，而是怀着敬畏之心，踏入未知的迷雾。

Stay hungry, stay foolish.",Image Generation / Thematic Career Life Map Illustration
"A photorealistic ESC keycap scene shows a miniature cozy living room setup. Inside: a glowing red Netflix screen, a plush red couch, popcorn bowl, and throw blanket. A small figure lounges with feet up, watching content. The red “N” logo glows from behind like mood lighting. Outside: cool tech-blue reflections on F1, Shift, and Q keys. The word “ESC” is subtly present in a glassy fog on top of the cap.",Image Generation / Miniature Scene on Keyboard Keycap (Netflix Theme)
"Place Monkey D. Luffy next to the man, smiling widely with his straw hat tilted. Use a Thousand Sunny deck background with bright blue sky. Keep the selfie composition intact and integrate both characters naturally.",Image Generation / Anime Character Integration in Photo
"(full body shot, wide angle view:1.2), [A woman], in a dynamic pose with arm outstretched, wearing a spectacular conceptual avant-garde gown. The bodice is a fitted (colorful patterned patchwork tapestry fabric:1.3). The skirt is NOT fabric and NOT simple ribbons. The skirt is constructed entirely from (GIANT, MASSIVE 3D PERSIAN CALLIGRAPHY STROKES cut from matte paper:1.6). (A violent wind effect blows the calligraphy structure upwards and outwards to the left:1.5), creating a huge swirling anti-gravity vortex of letters that billows like smoke high into the air. The right side of the skirt anchors to the floor. Dramatic color gradient: The floating strokes on the left are (fiery orange and bright red:1.4), transitioning smoothly across the body to (deep teal, emerald green, and dark blue strokes on the bottom right:1.4). White minimalist studio background with (distinctive patterned gobo shadows cast on the wall:1.3). Cinematic lighting, hyper-detailed paper texture, masterpiece, 8k. (simple ribbons with writing on them:1.6), (thin paper strips:1.5), (small text:1.4), standard fabric skirt, normal dress, metallic texture, shiny plastic, glossy finish, wire mesh, angel wings, feathers attached to back, symmetrical skirt, messy background, low quality, blurry.",Image Generation / Avant-Garde Dress with 3D Calligraphy Skirt
"Add clean, minimal white line-drawing illustrations of people into this photo. Match the perspective, lighting, and scale of the scene. The illustrated figures should interact naturally and meaningfully with the environment, reflecting the mood, purpose, and activity of the space. Keep the drawings simple, fluid, and expressive, with no facial details. Maintain a modern, warm, and slightly whimsical tone that complements the overall aesthetic. Do not obscure any original elements. The illustrated figures should feel like friendly, imaginative additions that blend seamlessly with the context of the scene.",Image Editing / Adding Minimalist Line Illustrations to Photo
"Please place the product image onto the diagram template. Remove all existing text from the diagram. Add subtle, harmonized borders that complement the overall design concept—keep the border thickness minimal/thin.",Image Editing / Product Image Placement on Diagram Template
"A chaotic, poorly composed 1990s flash photo taken with a disposable film camera — grainy, with heavy motion blur, lens smudges, uneven exposure, and harsh red-eye flash. The scene captures a wild moment at a dimly lit 90s party.

Michael Jackson is in the foreground, mid-dance, with sweat on his skin, a white sequined jacket reflecting the flash intensely. Prince is behind him, laughing, wearing a shiny purple suit, holding a drink that’s mid-spill. Their expressions are caught off-guard — startled and euphoric.

The background is crowded, with indistinct figures moving, blurred disco lights, and dense cigarette smoke catching the flash. Details like glitter, champagne spray, and vinyl records on a table reflect harshly. The photo is slightly tilted, with the look of a candid party snapshot taken by someone intoxicated and stumbling.

The result feels like a found photo from a lost pop culture archive — raw, nostalgic, and full of chaotic energy.

Euphoric, surreal, nostalgic, unfiltered  
Hyperrealistic 90s party film photo with on-camera flash, low quality but high detail  
Candid analog snapshot, not posed or staged",Image Generation / 1990s Flash Party Photo Recreation
会話している右から2番目の人物を添付のアニメの女の子にポーズそのままで置き換えてください,Image Editing / Anime Character Swap in Scene
"A cinematic, horizontally oriented image captures a dramatic moment with a female character surrounded by what appear to be fragments of metallic, clockwork-like objects suspended in the air. The central subject is a woman who appears to be in her 20s or 30s. She has light brown hair pulled back tightly, giving her a serious and focused expression. Her eyes are directed straight ahead, slightly out of focus compared to her outstretched hand. Her skin tone is fair. She is wearing a simple, dark, possibly gray or blue sleeveless top (or tank top).

The woman is positioned slightly off-center, leaning forward as she extends her right arm and hand toward the viewer. In the tips of her fingers, she is holding a very small, reddish-brown object—possibly a gem, bead, or a crucial piece of machinery. Her left hand is not clearly visible or is out of frame/too dark.

The background is dark and indistinct, suggesting an enclosed, possibly ancient or stone environment, with a muted, grayish-blue light source illuminating the scene, primarily focused on the woman and the flying fragments.

The foreground and midground are filled with various metallic fragments that appear to be broken pieces of intricate, circular objects, resembling clock faces, gears, or timepieces. These objects vary in size and complexity:
1.  To the immediate left, a large, dark circular frame dominates the left side, appearing like a fractured clock casing or gear.
2.  Above and around her, numerous smaller, sharp fragments, metallic slivers, and gear teeth are scattered, giving the impression of an explosion or rapid deconstruction of a machine.
3.  To the upper right, a detailed, large metallic disc is visible, bearing intricate etched patterns or symbols, resembling an ancient sundial or astrological device.
4.  To the lower right, a stack of circular, dark metallic frames (possibly clocks or dials) are arranged in a cascading, seemingly collapsing column.

The lighting is high contrast, with strong highlights on the woman's face and arm, and on the metallic fragments, which reflect the light. The overall mood is intense, action-oriented, and focused on the interaction between the woman and the small object she holds among the swirling fragments of time-like mechanisms.",Image Generation / Cinematic Woman with Metallic Clockwork Fragments
添付画像のキャラクターをちびキャラにして。LINEスタンプを作成。表情・ポーズ別・セリフ入で12種類。,Image Generation / LINE Style Character Emoticon Set
"scenery shot, a public bus shot, a pet moment, a sunset, and a candid smile.",Image Generation / Diverse Candid Scenery and Moments
"A young woman, same face preserved, lit by a harsh on-camera flash from a thrift-store film camera. Her hair is loosely pinned, stray strands shadowing her eyes. She gives a knowing half-smirk. She’s wearing a charcoal cardigan with texture. Behind her: a cluttered wall of handwritten notes and torn film stills. The shot feels like a raw indie-movie still — grain-heavy, imperfect, intentional.",Image Generation / Portrait Photography
"A cinematic, wide shot shows a fair-skinned young adult woman standing in a desolate, fiery landscape. The woman is centered in the frame, wearing a long, flowing, light gray or pale blue gown that appears to be made of silk or chiffon, draped with a floor-length cape or cowl of the same material that covers her head like a hood. The bodice of the dress is intricately detailed with what look like dark floral or metallic embellishments across the chest and abdomen. She has long, very pale blonde or platinum hair visible under the hood.

She is holding two small flames: one in her raised left hand, and another in her open right palm. The flames are bright yellow-orange and appear to be floating above her hands, suggesting a magical or supernatural element.

The background is dominated by intense, raging fire, suggesting a destructive or dramatic scene. Tall flames surround her on all sides, creating a wall of orange and yellow light and smoke. The ground appears to be dark and dry, possibly consisting of dirt or burned earth, with some darker, indistinct shapes near the bottom right foreground that could be debris or parts of a fallen structure. The lighting is dominated by the warm, flickering glow of the fire, casting deep shadows and highlighting the woman. The overall atmosphere is intense and dramatic.",Image Generation / Fantasy Character
"A cinematic levitation portrait of a woman sitting midair while working on a laptop. Replace the face with the uploaded person’s face while keeping the exact same body pose, outfit, and styling. The subject wears a tailored modern black blazer, grey trousers, and clean white sneakers.

The scene is set in a minimal studio room with soft natural light pouring in from large floor-to-ceiling windows, casting long, directional shadows across the space.

Surround the subject with symmetrically floating creative tools: multiple cameras (mirrorless and film), over-ear headphones, Moleskine notebooks, open sketchbooks with visible sketches, and glowing professional software icons — Adobe Photoshop (Ps), Adobe Lightroom (Lr), Adobe Premiere Pro (Pr), and Adobe After Effects (Ae).

The software icons appear as sleek, glowing floating tiles with a subtle holographic/futuristic effect, evenly and symmetrically distributed around her in a clean orbital arrangement.

Lighting: dramatic cinematic lighting with strong rim light outlining the subject, crisp yet soft-edged shadows, cool-toned color grading with muted blues and subtle teal highlights.

Style: ultra-sharp, hyper-realistic composite photography, high-end digital retouching, shallow depth of field (soft bokeh background), perfectly clean minimal background.

Emphasize: completely realistic levitation (no visible support), flawless symmetrical arrangement of floating objects, elegant rim lighting that sculpts the figure, dynamic yet balanced composition, modern creative-professional aesthetic.",Image Generation / Composite Portrait
"A collage of four portraits, each featuring a young Asian woman with long, wavy brown hair, styled with a small checkered bow clip on the right side. She has soft, natural makeup.
Top Left: The woman is holding a light brown mug with a bear face design, looking directly at the camera with a gentle expression. She is wearing a white top and fuzzy pink sleeves.
Top Right: The woman is holding a small white pot with a green plant, smiling warmly at the camera. She is wearing a white top and fuzzy pink sleeves.
Bottom Left: The woman is holding a pink plush teddy bear, looking directly at the camera with a serene expression. She is wearing a white top and fuzzy pink sleeves.
Bottom Right: The woman is posing with one hand gently touching her chin, looking directly at the camera with a thoughtful expression. She is wearing a white top and fuzzy pink sleeves, with her left sleeve draped over her hand.
All four images maintain consistent soft, warm lighting and a cozy, inviting atmosphere. The background is a blurred indoor setting with light, neutral tones, suggesting a comfortable home environment.",Image Generation / Portrait Collage
"A close-up, medium shot captures a man dressed as Batman, appearing to be in the midst of a dramatic, action sequence. The man, who appears to be an adult, wears a dark, armored Batsuit, which covers his head and upper body with the characteristic bat-eared cowl. His face, visible from the nose down, shows a grimacing or strained expression, suggesting intense effort or pain. His mouth is slightly open, revealing clenched teeth. The exposed skin around his jaw and mouth appears to be a light or fair skin tone. He is gripping something, or perhaps being enveloped by, bright white-blue electrical energy, which crackles dramatically around his hands and torso, forming several thick, jagged lines of light. The electricity is the main light source in the image, giving the scene a high-contrast, blue-tinged glow. Tiny, glowing orange-yellow sparks and debris are flying through the air around him, particularly in the lower portion of the frame, suggesting an explosion or impact is occurring. The background is very dark, almost black, with some hazy, smoky, or blurred dark-blue areas, which further emphasizes the brightness and intensity of the electrical energy and the character. The overall mood is intense, dynamic, and dark, characteristic of a superhero film action scene.",Image Generation / Superhero Action Scene
Create a portraitt of A beautiful young woman standing near a window during sunset holding a small bouquet of soft pastel roses. She has long wavy dark brown hair that shines gently in the fading light cascading over her shoulders. Her skin is flawless and fair with a soft glow that complements the warm sunset tones. She wears a cozy fluffy sweater in a gradient of white to lavender adding a dreamy and gentle aesthetic.,Image Generation / Portrait in Natural Light
"一幅超高清晰度、摄影质感极强的街头壁画，画面呈现强烈的中国风韵味。

画中描绘着一位绝美的卡通风女子正面特写头像，她神态柔美而宁静。墙体顶部被一大片盛开的蔷薇花覆盖，茂密的绿叶与繁盛的花朵向外舒展，部分枝条从墙顶垂落而下，与女子的头发巧妙融合，使她的秀发宛如由层层叠叠的蔷薇花组成。这些繁密的花朵簇拥着女子的头部，形成了一顶瑰丽的花冠，视觉效果华美浪漫。

背景中蓝天澄澈，点缀着朵朵白云；地面为一条细节真实的沥青街道，上面散落着缤纷多彩的花瓣，行人悠然漫步其间。整体场景细节精致入微，光影明亮柔和，营造出犹如现实般的梦幻街景氛围。",Image Generation / Street Art Mural
《天伦图》趣味水墨画，画中画结构，竖幅宣纸质感背景。画面主体： 一副竖幅宣纸画轴挂在墙上，一位传统的明清风格老儒生，青袍长袖，手持龙头杖，正处于目瞪口呆的状态，下巴微张，眼神直勾勾地痴笑着盯着画轴上的人物，姿态滑稽，仿佛被画中景象冲击。旁边站着一个穿牛仔裤和橙色古装夹袄的现代混搭风小童，吃着粉色棉花糖，眼神无辜。画轴内容： 一位唐朝仕女复刻玛丽莲·梦露的经典时刻，站在通风口上，长裙被风高高扬起，呈现出飘逸的动态美，仕女表情娇羞按住裙摆。艺术风格： 传统工笔画技法，宣纸纹理，淡彩，留白意境，左侧题款与朱印（“寶玉印”），极具讽刺与幽默感。,Image Generation / Traditional Ink Painting
佳能相机，85mm 定头，生成 1.8F、2.8F、10F、 14F 光圈逐渐变化的效果，温柔大美女作为模特，背景是黄昏之后的城市蓝调时刻,Image Generation / Portrait Photography Effects
"绘制一幅古今混搭幽默水墨插画，主题为《三英飙车战吕布》：

画面为黄昏时分，天空云霞绚丽，大片留白凸显意境；
刘备、关羽、张飞三人乘坐一辆疾驰的红色双排座宝马轿车在尘土飞扬的古代战场急转漂移——

刘备坐在驾驶位，双手紧握方向盘，神情专注严肃；
关羽坐在副驾驶，神情悠然，手持梳子对着后视镜悠闲梳理垂胸长髯，胡须飘逸夸张；
张飞在后排表情嚣张，朝身后追赶者从窗户竖起中指，姿势夸张，喜剧效果明显；
宝马轿车的车体与轮胎透视夸张拉伸，明显体现高速飘逸带来的强烈动感；

后方远处吕布头戴雉翎金冠、身穿古代铠甲，头盔飘带飞扬，骑着一辆复古红色哈雷摩托，奋力追赶宝马车，高举方天画戟怒吼，动作与神情极为夸张，充满戏剧冲突；

整体采用传统写意水墨笔触配合淡彩晕染，颜色柔和典雅，墨色层次丰富细腻；
保留传统朱印（“寶玉印”）题款于画面适当位置，结合适度的留白处理，营造出强烈的古典幽默感与现代元素的奇妙融合效果。",Image Generation / Historical Fantasy Illustration
"A beautiful Indian woman with long, flowing hair stands gracefully in the heart of a blooming rose garden. She is wearing a lovely floral maxi dress that moves softly with the gentle evening breeze, its sheer and delicate fabric adding a romantic, dreamy touch to the scene. The setting sun casts a warm, golden glow across the garden, illuminating the soft pink roses around her and creating a magical, ethereal atmosphere.

Her hair, highlighted subtly with shades of purple and brown, catches the sunlight as she gently holds one of the roses between her fingers. Her expression is serene, peaceful, and slightly wistful, as if she is lost in a quiet moment of reflection. The entire scene feels calm, enchanting, and filled with the soft warmth of sunset, making her presence blend beautifully with the natural elegance of the rose garden.",Image Generation / Romantic Portrait
behind the scene shots of new live action remake of Quake - by Nano Banana Pro,Video Generation / Behind the Scenes
"Edit the photo to be standing casually in a modern style elevator with reflective metal walls. He is wearing an all black outfit: a black suit and trousers, wearing sunglasses and holding a cup of take-away coffee. Elegant and edgy style with a mysterious feel. The dim lighting from the neon lights on the ceiling creates subtle shadows.""",Image Generation / Editorial Fashion Portrait
"""A hyper-realistic 8K fairytale portrait of a young woman dressed in an iconic Snow-White inspired costume, featuring a deep royal-blue velvet bodice with gold embroidery, bright red teardrop sleeve accents, structured puffed sleeves with soft golden cuffs, and a wide, flowing pastel-yellow skirt with gentle natural folds. She sits gracefully in a lush, magical flower garden filled with blooming red roses, delicate white daisies, and deep green foliage, creating a vibrant fairytale backdrop.

She holds a shiny red apple near her lips with a soft, enchanting smile, giving a warm and inviting expression. Her long, silky, wavy black hair cascades over her shoulders, styled with a bright red ribbon headband that enhances the fairytale aesthetic. Her skin appears smooth, porcelain-like, and naturally radiant, with subtle rosy makeup and expressive dark eyes.

Soft diffused sunlight filters through the background, adding a dreamy golden glow and enhancing the depth of field. Bokeh highlights sparkle gently around the flowers, giving a cinematic, storybook look. Ultra-detailed textures on the dress fabric, the wicker basket filled with red apples, and the surrounding blooms. Crisp focus on the subject, creamy blurred background, whimsical fairytale mood, vibrant color grading, DSLR lens quality, magical atmosphere, perfect lighting, professional photography style.""",Image Generation / Fantasy Fairytale Portrait
